Puzzle #,StartWord,Word 1,Word 2,Word 3,Word 4,EndWord,Letter 1,Letter 2,Letter 3,Letter 4,Letter 5,EasyH1a,EasyH1b,EasyH2a,EasyH2b,EasyH3a,EasyH3b,EasyH4a,EasyH4b
719,HOLY,HOLT,COLT,COAT,CHAT,CHAO,T,C,A,H,O,2O,1H,4T,2O,1C,4T,3A,4T
720,CAMO,CAME,CATE,CITE,SITE,SITS,E,T,I,S,S,2A,3M,1C,2A,4E,3T,4E,3T
721,CRIB,CRAB,GRAB,GRAD,GRID,ARID,A,G,D,I,A,1C,2R,2R,3A,1G,3A,4D,1G
722,UNIT,KNIT,KNOT,KNOW,SNOW,STOW,K,O,W,S,T,2N,3I,2N,1K,1K,3O,3O,4W
723,LEAD,BEAD,BEAK,BECK,DECK,DOCK,B,K,C,D,O,4D,3A,2E,3A,2E,4K,2E,3C
724,DARK,BARK,BANK,BANS,BINS,WINS,B,N,S,I,W,3R,4K,4K,2A,1B,3N,3N,4S
725,MUCH,MACH,MACE,MAGE,CAGE,CAME,A,E,G,C,M,4H,1M,3C,1M,2A,1M,4E,3G
726,HIND,BIND,BEND,BENT,BEST,NEST,B,E,T,S,N,4D,2I,3N,1B,1B,3N,1B,4T
727,BOOM,BOOS,BOSS,BASS,BASH,DASH,S,S,A,H,D,3O,2O,1B,4S,1B,4S,1B,3S
728,KITE,MITE,MATE,MANE,MANA,NANA,M,A,N,A,N,2I,3T,1M,4E,4E,2A,3N,1M
729,FAVE,FARE,HARE,HART,HURT,HUNT,R,H,T,U,N,4E,2A,2A,4E,1H,3R,4T,3R
730,LEAD,BEAD,BEND,BIND,BINS,BITS,B,N,I,S,T,2E,3A,1B,4D,4D,1B,2I,1B
731,DUMB,DUMP,DAMP,CAMP,CARP,CARR,P,A,C,R,R,1D,3M,1D,3M,2A,4P,1C,4P
732,GEMS,GETS,JETS,JESS,MESS,MISS,T,J,S,M,I,1G,4S,4S,3T,4S,1J,3S,4S
733,FLEW,FLAW,CLAW,CLAM,CRAM,TRAM,A,C,M,R,T,2L,4W,3A,2L,2L,1C,4M,1C
734,SHIV,SHIN,SPIN,SPAN,SPAR,SOAR,N,P,A,R,O,1S,2H,4N,1S,4N,2P,1S,2P
735,MEND,BEND,BOND,BONE,BODE,MODE,B,O,E,D,M,3N,2E,1B,3N,2O,1B,2O,1B
736,TIDY,TIDE,TIME,TOME,COME,COMB,E,M,O,C,B,2I,1T,4E,2I,4E,3M,4E,3M
737,REAP,READ,BEAD,BEND,BAND,BALD,D,B,N,A,L,1R,2E,3A,2E,2E,4D,4D,1B
738,ZONE,CONE,CANE,CATE,HATE,HATH,C,A,T,H,H,2O,4E,4E,3N,2A,1C,4E,3T
739,NAIL,BAIL,BALL,BALE,BAKE,LAKE,B,L,E,K,L,2A,3I,2A,1B,2A,3L,4E,1B
740,OUCH,MUCH,MACH,MACE,MARE,MART,M,A,E,R,T,2U,4H,4H,1M,2A,3C,1M,2A
741,COLA,COLT,BOLT,BOOT,BOOK,NOOK,T,B,O,K,N,3L,1C,2O,3L,4T,2O,2O,3O
742,DUSK,DESK,DECK,BECK,BEAK,BEAU,E,C,B,A,U,4K,3S,4K,2E,3C,4K,2E,4K
743,DIME,LIME,LAME,LACE,LACK,JACK,L,A,C,K,J,2I,4E,4E,1L,2A,1L,3C,1L
744,HILL,BILL,BELL,BELT,BENT,RENT,B,E,T,N,R,3L,2I,3L,1B,2E,1B,2E,1B
745,JOSH,POSH,POSE,DOSE,DONE,DINE,P,E,D,N,I,4H,2O,1P,3S,3S,4E,2O,1D
746,BARN,BARS,BAGS,BUGS,HUGS,HOGS,S,G,U,H,O,3R,2A,2A,1B,1B,3G,3G,2U
747,NOSE,ROSE,RISE,RIFE,RIFF,TIFF,R,I,F,F,T,2O,3S,1R,4E,2I,4E,3F,2I
748,GUTS,GETS,PETS,PEAS,TEAS,TEAM,E,P,A,T,M,4S,1G,2E,4S,2E,4S,2E,3A
749,WOOL,FOOL,FOOD,FOND,BOND,BONE,F,D,N,B,E,3O,4L,1F,2O,4D,1F,2O,3N
750,FLEA,FLED,FEED,HEED,HEAD,HEAP,D,E,H,A,P,2L,1F,4D,3E,3E,4D,1H,4D
751,MOOT,MOOD,MOLD,MILD,MILO,SILO,D,L,I,O,S,2O,1M,2O,1M,4D,3L,2I,3L
752,MALE,MALL,MILL,DILL,DIAL,DUAL,L,I,D,A,U,1M,2A,3L,1M,2I,4L,1D,4L
753,GORE,CORE,CARE,CARL,CALL,CALF,C,A,L,L,F,3R,4E,4E,1C,1C,2A,2A,1C
754,MIST,MINT,MINE,MIKE,PIKE,PUKE,N,E,K,P,U,4T,1M,3N,2I,4E,2I,2I,4E
755,DATA,DADA,NADA,NANA,MANA,MINA,D,N,N,M,I,2A,1D,2A,4A,1N,4A,2A,4A
756,HULA,HULK,HUNK,HUNT,HINT,TINT,K,N,T,I,T,2U,3L,2U,4K,2U,3N,3N,4T
757,KALE,BALE,BARE,CARE,CURE,CUBE,B,R,C,U,B,2A,4E,4E,2A,2A,3R,4E,3R
758,MUSK,MUCK,BUCK,BULK,BULL,GULL,C,B,L,L,G,1M,2U,2U,3C,1B,2U,1B,3L
759,POST,HOST,HAST,HALT,HALL,WALL,H,A,L,L,W,4T,2O,4T,3S,4T,2A,3L,2A
760,YANG,BANG,BAND,BALD,BALL,GALL,B,D,L,L,G,4G,3N,2A,3N,1B,4D,1B,3L
761,BRAD,BEAD,BEND,FEND,FUND,FUNK,E,N,F,U,K,4D,1B,1B,2E,3N,4D,3N,1F
762,WANT,WAIT,GAIT,GRIT,GRID,ARID,I,G,R,D,A,2A,1W,3I,4T,4T,1G,3I,2R
763,HINT,HUNT,PUNT,PUNS,PUPS,POPS,U,P,S,P,O,1H,3N,2U,3N,3N,2U,4S,1P
764,PUMA,PUMP,PULP,PULL,POLL,POLO,P,L,L,O,O,3M,2U,4P,1P,2U,3L,3L,4L
765,CAMS,CATS,BATS,BOTS,BOOS,BOOT,T,B,O,O,T,4S,2A,4S,3T,1B,4S,4S,2O
766,SWAG,SWAM,SEAM,SEAS,SEES,FEES,M,E,S,E,F,3A,1S,3A,1S,2E,3A,2E,4S
767,BACH,BATH,HATH,HATE,HAVE,HOVE,T,H,E,V,O,2A,4H,4H,3T,2A,3T,1H,4E
768,ROLF,ROOF,ROOT,MOOT,MOAT,MEAT,O,T,M,A,E,2O,4F,2O,3O,4T,2O,1M,4T
769,RUBY,RUBS,RUGS,RAGS,RAYS,JAYS,S,G,A,Y,J,3B,2U,2U,4S,1R,4S,4S,1R
770,PLOW,PLOT,PLAT,PEAT,SEAT,SENT,T,A,E,S,N,2L,3O,2L,4T,1P,3A,2E,3A
771,MORE,LORE,LONE,LINE,LIME,LIMO,L,N,I,M,O,2O,3R,2O,1L,4E,1L,2I,1L
772,KNOB,KNOW,SNOW,SLOW,SLOT,CLOT,W,S,L,T,C,1K,2N,4W,2N,4W,3O,2L,3O
773,AFRO,AERO,HERO,HERD,HEED,PEED,E,H,D,E,P,1A,4O,3R,2E,1H,3R,4D,2E
774,ONES,OWES,OWLS,OILS,OILY,ONLY,W,L,I,Y,N,1O,4S,1O,4S,3L,1O,2I,3L
775,BONY,BODY,BODE,MODE,MODS,PODS,D,E,M,S,P,1B,2O,1B,2O,3D,4E,1M,3D
776,COIL,COIN,CONN,CONE,TONE,TOTE,N,N,E,T,T,1C,2O,1C,4N,3N,2O,2O,4E
777,CALL,BALL,BULL,BULK,BUNK,PUNK,B,U,K,N,P,4L,3L,4L,3L,1B,3L,4K,1B
778,LEFT,LENT,LENS,LEES,SEES,SHES,N,S,E,S,H,1L,4T,3N,1L,1L,4S,2E,4S
779,LACY,LACE,LAME,LAMP,LUMP,PUMP,E,M,P,U,P,3C,2A,2A,1L,3M,2A,1L,3M
780,VASE,BASE,BARE,BARN,BURN,BURR,B,R,N,U,R,2A,4E,2A,4E,1B,2A,3R,1B
781,GARB,BARB,BARE,BAKE,BIKE,HIKE,B,E,K,I,H,3R,4B,3R,2A,2A,4E,4E,3K
782,SICK,PICK,PICS,PIGS,RIGS,RUGS,P,S,G,R,U,4K,2I,1P,3C,2I,1P,4S,3G
783,LONG,LONE,LORE,LURE,SURE,SURF,E,R,U,S,F,3N,1L,1L,2O,1L,4E,2U,4E
784,CALL,CARL,CARE,RARE,RACE,RICE,R,E,R,C,I,2A,1C,1C,3R,4E,3R,2A,1R
785,HAZE,HATE,CATE,CATS,CUTS,CUES,T,C,S,U,E,4E,1H,3T,2A,2A,3T,1C,3T
786,LEGS,LESS,LOSS,LOSE,NOSE,NOPE,S,O,E,N,P,1L,4S,3S,4S,2O,3S,2O,4E
787,HURT,CURT,CURE,CORE,CORK,FORK,C,E,O,K,F,3R,4T,2U,1C,1C,3R,3R,2O
788,TRIP,TRAP,TRAM,TEAM,BEAM,BEAT,A,M,E,B,T,4P,1T,2R,3A,4M,3A,3A,2E
789,SURF,SURE,CURE,CORE,CORN,COIN,E,C,O,N,I,2U,3R,2U,4E,1C,4E,3R,2O
790,PACE,PALE,HALE,HALL,HULL,HULA,L,H,L,U,A,2A,4E,3L,4E,2A,3L,3L,1H
791,MAYS,MACS,MACE,MALE,MILE,MILK,C,E,L,I,K,2A,1M,2A,3C,4E,1M,3L,4E
792,SINK,MINK,MINT,MIST,LIST,LEST,M,T,S,L,E,4K,3N,3N,2I,1M,2I,3S,4T
793,HOOD,HOOK,BOOK,BOOS,BOTS,TOTS,K,B,S,T,T,1H,3O,2O,4K,2O,1B,2O,1B
794,TACT,TACK,LACK,LOCK,LOCO,COCO,K,L,O,O,C,1T,2A,3C,2A,4K,3C,2O,1L
795,FINK,FIND,FEND,FEED,FLED,SLED,D,E,E,L,S,2I,3N,3N,4D,1F,2E,3E,4D
796,REEF,REES,REDS,RODS,PODS,POPS,S,D,O,P,P,2E,1R,1R,2E,3D,1R,3D,2O
797,GEAR,HEAR,HEAD,HELD,HOLD,MOLD,H,D,L,O,M,3A,2E,3A,1H,1H,4D,4D,1H
798,WORK,CORK,COOK,COOP,CROP,CROW,C,O,P,R,W,3R,4K,1C,4K,3O,1C,1C,4P
799,GRAM,CRAM,CLAM,CLAD,CHAD,CHAR,C,L,D,H,R,2R,4M,4M,1C,3A,1C,4D,1C
800,MOTT,MOOT,BOOT,BLOT,BLOW,FLOW,O,B,L,W,F,4T,2O,2O,4T,4T,1B,1B,2L
801,PAIN,MAIN,MAIL,HAIL,HALL,HALF,M,L,H,L,F,2A,4N,3I,2A,4L,3I,4L,2A
802,SPUN,SHUN,SHUT,SHOT,SOOT,SOFT,H,T,O,O,F,1S,4N,3U,1S,4T,2H,1S,4T
803,PLOT,BLOT,BOOT,BOOS,BROS,PROS,B,O,S,R,P,3O,2L,3O,4T,1B,2O,1B,4S
804,DONG,BONG,BONE,BORE,BORN,BURN,B,E,R,N,U,3N,2O,1B,2O,2O,4E,3R,1B
805,FOUR,SOUR,SOUS,SONS,TONS,TONY,S,S,N,T,Y,4R,2O,2O,1S,2O,1S,2O,3N
806,FERN,KERN,KEEN,BEEN,BEAN,BEAM,K,E,B,A,M,4N,2E,1K,4N,2E,3E,4N,1B
807,RAPE,RAPS,RAMS,RIMS,SIMS,SUMS,S,M,I,S,U,1R,3P,1R,4S,3M,4S,3M,2I
808,TIDY,TIDE,AIDE,AIDS,BIDS,BUDS,E,A,S,B,U,1T,2I,4E,3D,3D,1A,3D,2I
809,WIGS,GIGS,GAGS,BAGS,BARS,BARB,G,A,B,R,B,2I,3G,1G,3G,3G,2A,1B,4S
810,BIAS,BINS,BIND,BOND,FOND,FORD,N,D,O,F,R,2I,4S,2I,1B,1B,3N,2O,3N
811,NITE,BITE,BITS,BOTS,BOTH,GOTH,B,S,O,H,G,2I,3T,1B,3T,3T,4S,2O,3T
812,FELL,DELL,DEAL,DEAN,MEAN,MOAN,D,A,N,M,O,2E,3L,2E,1D,2E,1D,2E,4N
813,LOGO,LOGS,DOGS,DONS,IONS,INNS,S,D,N,I,N,2O,1L,4S,2O,2O,4S,4S,2O
814,SPEC,SPED,SLED,SLID,SKID,SKIM,D,L,I,K,M,1S,2P,3E,4D,1S,4D,1S,3I
815,UNIT,KNIT,KNOT,KNOW,SNOW,STOW,K,O,W,S,T,3I,4T,2N,4T,1K,2N,4W,2N
816,HAYS,BAYS,BAGS,BEGS,BEES,BEEP,B,G,E,E,P,4S,2A,4S,1B,3G,1B,2E,4S
817,FALL,CALL,CARL,CART,DART,DAFT,C,R,T,D,F,3L,2A,1C,4L,2A,1C,4T,2A
818,BUMS,BUYS,BOYS,BOOS,BOON,SOON,Y,O,O,N,S,1B,2U,1B,3Y,1B,4S,2O,3O
819,FUNK,BUNK,BULK,BULL,BILL,DILL,B,L,L,I,D,2U,3N,4K,2U,3L,2U,3L,4L
820,BITS,BINS,BUNS,BUNK,BUCK,DUCK,N,U,K,C,D,2I,4S,4S,1B,2U,3N,1B,2U
821,TEEN,TEES,TENS,PENS,PANS,CANS,S,N,P,A,C,3E,1T,1T,2E,4S,2E,1P,4S
822,DASH,BASH,BASS,BAGS,BEGS,BEDS,B,S,G,E,D,4H,2A,2A,3S,4S,1B,3G,4S
823,CLAY,CLAM,SLAM,SLIM,SLID,SLED,M,S,I,D,E,3A,2L,3A,2L,4M,2L,1S,2L
824,MARA,MART,MALT,MELT,MEAT,NEAT,T,L,E,A,N,3R,2A,2A,1M,1M,4T,2E,1M
825,CYST,CAST,PAST,PASS,PALS,GALS,A,P,S,L,G,1C,3S,4T,2A,1P,3S,1P,4S
826,MOON,MOAN,MEAN,MEAT,SEAT,SEPT,A,E,T,S,P,2O,1M,1M,3A,3A,1M,3A,4T
827,GAGE,GALE,GALL,GILL,GILT,GIFT,L,L,I,T,F,4E,2A,3L,1G,1G,4L,2I,3L
828,DONE,CONE,CONN,COIN,CHIN,CHIT,C,N,I,H,T,3N,2O,2O,3N,4N,1C,1C,4N
829,CATE,CARE,HARE,HERE,HERS,HENS,R,H,E,S,N,4E,1C,2A,3R,1H,3R,3R,2E
830,DUFF,DIFF,RIFF,RIFE,RIPE,RAPE,I,R,E,P,A,3F,4F,3F,4F,1R,2I,1R,2I
831,GUYS,GAYS,GAPS,RAPS,RAPE,ROPE,A,P,R,E,O,3Y,1G,4S,1G,4S,2A,1R,2A
832,HAZY,HAZE,HARE,CARE,CAME,COME,E,R,C,M,O,1H,2A,4E,1H,3R,4E,2A,1C
833,LOSS,BOSS,BOOS,BOOT,BOAT,BOAR,B,O,T,A,R,2O,3S,4S,1B,1B,3O,4T,1B
834,WHAT,WHIT,WHIP,SHIP,SKIP,SKIS,I,P,S,K,S,1W,4T,2H,3I,2H,3I,4P,1S
835,BACH,BACK,BUCK,TUCK,TURK,TURD,K,U,T,R,D,2A,3C,4K,1B,2U,4K,1T,4K
836,LING,LANG,HANG,HAND,HARD,HERD,A,H,D,R,E,4G,1L,3N,4G,2A,3N,1H,4D
837,NUKE,NUDE,RUDE,RUSE,RUST,GUST,D,R,S,T,G,2U,4E,4E,2U,2U,1R,1R,2U
838,DRAW,DRAG,BRAG,BRAN,BEAN,LEAN,G,B,N,E,L,3A,1D,4G,3A,2R,3A,1B,3A
839,FOAM,ROAM,ROAD,READ,DEAD,DEAN,R,D,E,D,N,3A,4M,1R,3A,3A,4D,2E,3A
840,WHIP,WHIT,WRIT,BRIT,BRAT,BRAD,T,R,B,A,D,2H,1W,3I,4T,2R,4T,2R,4T
841,VEER,SEER,SEEM,SEAM,SLAM,CLAM,S,M,A,L,C,2E,3E,1S,3E,2E,1S,1S,3A
842,HASH,HUSH,RUSH,RUSE,RUNE,RUNG,U,R,E,N,G,1H,4H,4H,2U,3S,1R,2U,4E
843,HALO,HALE,HOLE,HOLD,HOOD,WOOD,E,O,D,O,W,2A,1H,4E,1H,3L,1H,2O,1H
844,TAPE,CAPE,CANE,MANE,MANA,MINA,C,N,M,A,I,4E,2A,1C,2A,3N,4E,2A,1M
845,YOLK,FOLK,FORK,CORK,CORN,TORN,F,R,C,N,T,4K,3L,2O,1F,2O,3R,1C,2O
846,SKIP,SKID,SAID,SAIL,SOIL,TOIL,D,A,L,O,T,2K,3I,3I,4D,3I,2A,1S,3I
847,REAL,DEAL,DUAL,DUEL,DUES,DUBS,D,U,E,S,B,4L,2E,3A,4L,4L,1D,2U,1D
848,LACK,RACK,RANK,RAND,RAID,RAIL,R,N,D,I,L,2A,3C,2A,4K,3N,2A,2A,4D
849,GOAL,COAL,COAT,COLT,COLE,CODE,C,T,L,E,D,4L,3A,3A,2O,1C,4T,1C,2O
850,PAPA,PARA,PARK,PACK,PUCK,PUNK,R,K,C,U,N,1P,2A,3R,1P,4K,1P,4K,3C
851,PITY,PITS,HITS,HIPS,HOPS,HOPE,S,H,P,O,E,1P,2I,3T,2I,4S,2I,3P,4S
852,MACS,MACK,LACK,LOCK,LOCO,COCO,K,L,O,O,C,3C,1M,2A,4K,1L,4K,2O,3C
853,AXES,EXES,EYES,DYES,DOES,WOES,E,Y,D,O,W,3E,2X,4S,3E,3E,4S,1D,4S
854,SEER,SEES,TEES,TENS,TONS,TONE,S,T,N,O,E,2E,1S,4S,2E,2E,1T,3N,1T
855,FEES,FOES,DOES,DOCS,DOCK,MOCK,O,D,C,K,M,1F,3E,4S,2O,1D,4S,1D,3C
856,MACK,BACK,BACH,BASH,BUSH,BUSY,B,H,S,U,Y,3C,4K,3C,2A,1B,2A,3S,1B
857,FILM,FILE,FIRE,FARE,FAME,NAME,E,R,A,M,N,2I,3L,1F,2I,4E,3R,2A,4E
858,NEXT,NEAT,PEAT,PEAS,PENS,PANS,A,P,S,N,A,4T,2E,3A,2E,2E,3A,1P,4S
859,TIER,TIES,TOES,TOSS,LOSS,LOSE,S,O,S,L,E,3E,2I,1T,3E,4S,2O,4S,2O
860,FLOP,FLIP,SLIP,SLID,SAID,MAID,I,S,D,A,M,2L,4P,2L,3I,2L,1S,4D,3I
861,CHEW,CREW,BREW,BRED,BRAD,GRAD,R,B,D,A,G,3E,1C,4W,3E,1B,2R,2R,4D
862,JAVA,LAVA,LAMA,LAME,LATE,LITE,L,M,E,T,I,2A,4A,4A,1L,2A,3M,4E,1L
863,JACK,BACK,BANK,BANS,BINS,FINS,B,N,S,I,F,4K,2A,1B,2A,2A,3N,3N,1B
864,BITE,BITS,BETS,BEES,FEES,FEED,S,E,E,F,D,1B,2I,3T,1B,4S,2E,3E,2E
865,MUTE,MULE,MOLE,MOLD,MOOD,WOOD,L,O,D,O,W,4E,2U,1M,4E,1M,3L,1M,2O
866,TINT,MINT,MINE,MANE,MAGE,SAGE,M,E,A,G,S,4T,3N,3N,2I,1M,3N,1M,4E
867,COKE,COLE,DOLE,DOLL,DILL,HILL,L,D,L,I,H,4E,1C,2O,3L,1D,3L,3L,1D
868,TRAM,TEAM,TEAS,TENS,TINS,WINS,E,S,N,I,W,1T,4M,3A,2E,4S,2E,3N,1T
869,BARS,BAGS,BUGS,BUMS,BUMP,HUMP,G,U,M,P,H,4S,1B,1B,4S,1B,2U,3M,1B
870,PINT,PANT,PAST,POST,POSH,POOH,A,S,O,H,O,4T,1P,4T,1P,4T,1P,1P,2O
871,POEM,POET,POST,COST,COSY,COPY,T,S,C,Y,P,1P,3E,2O,1P,2O,4T,2O,3S
872,CONN,CONS,SONS,SOUS,SOUP,SOAP,S,S,U,P,A,3N,2O,3N,4S,2O,4S,3U,1S
873,TEMP,KEMP,KEEP,PEEP,PREP,PREY,K,E,P,R,Y,4P,3M,2E,1K,3E,2E,1P,3E
874,BEAU,BEAD,BEND,BOND,BONE,HONE,D,N,O,E,H,3A,1B,1B,2E,3N,4D,2O,1B
875,MARA,MORA,MORN,MOON,NOON,NOOK,O,N,O,N,K,1M,3R,3R,2O,4N,1M,2O,4N
876,JOLT,COLT,COST,CAST,CASH,BASH,C,S,A,H,B,4T,2O,4T,1C,3S,4T,2A,1C
877,MOON,MOAN,MEAN,BEAN,BEAD,BRAD,A,E,B,D,R,2O,4N,3A,4N,3A,4N,1B,3A
878,DEFY,DENY,DENT,BENT,BEST,BUST,N,T,B,S,U,1D,2E,3N,1D,4T,3N,2E,1B
879,REED,PEED,PEEK,PERK,PERM,TERM,P,K,R,M,T,3E,4D,3E,1P,2E,4K,3R,2E
880,SUIT,SPIT,SPAT,SPAR,STAR,STIR,P,A,R,T,I,1S,3I,2P,4T,2P,1S,3A,1S
881,MARE,CARE,CARS,CATS,CUTS,GUTS,C,S,T,U,G,4E,2A,3R,1C,2A,4S,4S,3T
882,WORK,DORK,DARK,DANK,DANG,FANG,D,A,N,G,F,4K,2O,3R,1D,2A,4K,2A,3N
883,SCAN,SCAM,SEAM,SEEM,SEER,VEER,M,E,E,R,V,1S,2C,4M,1S,4M,2E,3E,2E
884,GOOD,GOLD,COLD,COLE,CONE,CONS,L,C,E,N,S,4D,1G,2O,3L,3L,1C,2O,4E
885,JOBS,JOYS,BOYS,BUYS,BUNS,BUNK,Y,B,U,N,K,4S,1J,2O,3Y,4S,1B,1B,4S
886,DOGS,DONS,SONS,SOUS,SOUR,TOUR,N,S,U,R,T,4S,1D,2O,3N,1S,4S,3U,2O
887,QUIZ,QUIT,SUIT,SKIT,SKIN,SHIN,T,S,K,N,H,3I,2U,3I,2U,3I,4T,2K,1S
888,ZEAL,TEAL,TELL,TALL,HALL,HALO,T,L,A,H,O,3A,4L,1T,4L,4L,1T,3L,2A
889,BOSS,BOOS,BOOM,ROOM,ROAM,ROAD,O,M,R,A,D,4S,2O,1B,3O,3O,4M,4M,1R
890,RAND,WAND,WIND,WINS,WITS,WITH,W,I,S,T,H,3N,2A,3N,4D,1W,2I,1W,2I
891,GULF,GULL,GALL,GALE,GAGE,WAGE,L,A,E,G,W,2U,3L,1G,3L,2A,1G,1G,2A
892,PAWN,LAWN,LAWS,LAGS,GAGS,GAGA,L,S,G,G,A,2A,4N,2A,1L,2A,4S,4S,3G
893,CARE,CAPE,CAPS,RAPS,REPS,REDS,P,S,R,E,D,1C,4E,1C,3P,4S,3P,4S,3P
894,BITE,RITE,RISE,ROSE,ROSY,COSY,R,S,O,Y,C,4E,2I,1R,4E,4E,3S,2O,3S
895,DUCK,DOCK,DOCS,DONS,MONS,MODS,O,S,N,M,D,3C,4K,1D,2O,4S,1D,3N,4S
896,MENU,MEND,MEAD,MEAT,FEAT,FIAT,D,A,T,F,I,2E,1M,2E,4D,3A,2E,4T,3A
897,PROF,PROS,BROS,BOOS,BOOT,SOOT,S,B,O,T,S,2R,3O,2R,4S,4S,1B,1B,3O
898,ROSY,ROSE,POSE,POKE,JOKE,JAKE,E,P,K,J,A,1R,2O,3S,2O,4E,1P,4E,2O
899,LEFT,LOFT,LOOT,MOOT,MOOR,POOR,O,O,M,R,P,3F,4T,4T,1L,3O,4T,3O,1M
900,TRAM,TEAM,TEAL,TELL,TALL,TAIL,E,L,L,A,I,1T,4M,3A,1T,4L,2E,4L,1T
901,FLAK,FLAT,FRAT,BRAT,BRAG,DRAG,T,R,B,G,D,3A,2L,4T,3A,3A,2R,3A,1B
902,BAIL,BOIL,BOWL,BOWS,LOWS,LAWS,O,W,S,L,A,4L,3I,2O,1B,1B,3W,4S,3W
903,MELT,MALT,HALT,HALE,HAVE,NAVE,A,H,E,V,N,3L,1M,4T,2A,2A,3L,4E,2A
904,CREW,BREW,BRED,BRAD,BEAD,BEAN,B,D,A,E,N,2R,3E,3E,2R,2R,1B,1B,3A
905,FIST,FISH,WISH,WITH,WITS,BITS,H,W,T,S,B,1F,3S,2I,4H,4H,1W,3T,1W
906,APPS,APES,AXES,EXES,EYES,DYES,E,X,E,Y,D,2P,1A,4S,1A,3E,2X,3E,1E
907,MESH,MASH,MAST,MOST,MOAT,BOAT,A,T,O,A,B,3S,4H,1M,3S,3S,1M,2O,1M
908,FRET,FEET,FEES,LEES,LETS,LOTS,E,S,L,T,O,1F,3E,3E,1F,2E,4S,4S,2E
909,LIEN,LINN,LINE,LONE,LORE,WORE,N,E,O,R,W,4N,1L,2I,3N,3N,4E,4E,1L
910,LADS,LAGS,LEGS,LEES,REES,REEL,G,E,E,R,L,4S,1L,3G,1L,1L,4S,3E,2E
911,POKE,POSE,LOSE,LOSS,LESS,MESS,S,L,S,E,M,2O,4E,3S,4E,1L,2O,1L,4S
912,STOW,SHOW,SHOT,SOOT,BOOT,BOOS,H,T,O,B,S,1S,3O,1S,3O,3O,4T,3O,4T
913,ELSE,EASE,EAST,LAST,LUST,GUST,A,T,L,U,G,1E,3S,3S,2A,3S,2A,1L,3S
914,LEAD,BEAD,BEAT,FEAT,FLAT,FLAK,B,T,F,L,K,3A,2E,3A,1B,4T,3A,1F,3A
915,RUSH,RUST,REST,RENT,SENT,SEND,T,E,N,S,D,2U,3S,4T,1R,4T,2E,3N,2E
916,WISE,WINE,WIND,WAND,WANT,WENT,N,D,A,T,E,2I,1W,2I,1W,3N,4D,1W,3N
917,TINY,TINT,MINT,MIST,LIST,LUST,T,M,S,L,U,3N,2I,3N,4T,1M,2I,4T,3S
918,MALL,MALT,MELT,MEAT,SEAT,SECT,T,E,A,S,C,2A,3L,3L,4T,1M,2E,3A,2E
919,PAPA,PARA,PARK,BARK,BARD,YARD,R,K,B,D,Y,2A,1P,2A,1P,2A,4K,2A,1B
920,DATE,DARE,DARK,DIRK,DISK,DESK,R,K,I,S,E,1D,2A,2A,3R,1D,3R,1D,2I
921,CARP,CARD,CORD,CORY,COSY,ROSY,D,O,Y,S,R,3R,2A,4D,3R,3R,1C,2O,1C
922,BASS,BOSS,BOOS,BROS,EROS,EGOS,O,O,R,E,G,1B,3S,4S,1B,4S,1B,2R,4S
923,DAMS,CAMS,CABS,CUBS,CUES,DUES,C,B,U,E,D,3M,4S,2A,4S,1C,4S,2U,4S
924,PLUS,PLUG,SLUG,SLAG,SLAP,SWAP,G,S,A,P,W,3U,2L,2L,4G,1S,2L,3A,2L
925,WEAR,PEAR,PEAS,PETS,GETS,GEMS,P,S,T,G,M,4R,3A,1P,2E,4S,1P,3T,2E
926,MAIL,MAIN,PAIN,PAWN,PAWS,PAYS,N,P,W,S,Y,1M,3I,3I,2A,2A,1P,1P,3W
927,BARE,BARN,BORN,BOON,BOOM,ZOOM,N,O,O,M,Z,2A,3R,1B,4N,1B,4N,3O,1B
928,BRAT,BEAT,BEET,BEES,LEES,LIES,E,E,S,L,I,4T,3A,1B,4T,3E,2E,4S,2E
929,WALK,TALK,TACK,PACK,PARK,PARA,T,C,P,R,A,2A,4K,4K,1T,4K,2A,4K,2A
930,KEMP,KEEP,BEEP,BEET,BELT,BOLT,E,B,T,L,O,1K,4P,2E,4P,2E,3E,1B,4T
931,RICE,RIPE,RIPS,RIMS,SIMS,SUMS,P,S,M,S,U,2I,4E,3P,2I,1R,2I,3M,2I
932,MATH,MATE,MALE,MOLE,POLE,POLY,E,L,O,P,Y,1M,2A,4E,1M,4E,3L,4E,3L
933,CULT,COLT,COST,LOST,LEST,LESS,O,S,L,E,S,1C,4T,4T,2O,4T,3S,3S,4T
934,MUMS,BUMS,BUDS,BEDS,BEES,BEEP,B,D,E,E,P,4S,3M,2U,1B,4S,1B,4S,1B
935,NAIL,FAIL,FOIL,FOOL,FOOT,ROOT,F,O,O,T,R,4L,2A,3I,1F,1F,4L,2O,3O
936,GAME,GAGE,GAGS,MAGS,MASS,MISS,G,S,M,S,I,2A,1G,1G,2A,4S,2A,2A,4S
937,CONN,CONE,LONE,LINE,LINK,RINK,E,L,I,K,R,1C,2O,4E,3N,1L,3N,3N,1L
938,BOWL,FOWL,FOOL,FOOD,FORD,WORD,F,O,D,R,W,2O,4L,1F,2O,2O,3O,1F,4D
939,FIST,FEST,JEST,JESS,JOSS,JOBS,E,J,S,O,B,3S,4T,4T,2E,3S,2E,4S,3S
